painting_name,painting_time,museum_name,type,painting_url,painter_name,painter_hash
乐团的音乐家,1870,德国黑森州法兰克福,油画,"https://www.youhuadaquan.org/images-small/Edgar%20Degas/21571-Degas,%20Edgar.jpg",埃德加·德加,3
兄弟之爱,1851,波士顿美术馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21083-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
舞蹈,1856,法国巴黎奥赛博物馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21084-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
春天,1858,私人,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21085-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
万圣节,1859,波尔多美术馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21086-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
收割时休息,1865,菲尔布鲁克艺术博物馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21087-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
感谢祭,1867,费城艺术博物馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21088-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
艺术与文学,1867,阿诺特艺术博物馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21089-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
贝壳,1871,私人,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21090-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
森林之神与仙女们,1873,斯特林与弗朗辛克拉克艺术学院,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21091-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
爱神丘比特,1875,布里奇曼艺术图书馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21092-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
秘密,1876,纽约历史社会博物馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21093-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
收获归来,1878,杰克逊维尔艺术与园林博物馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21094-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
孩时的施洗者圣约翰,1595,卡比托利欧博物馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21289-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
胜利的爱神,1596,柏林国立博物馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21290-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
马大与抹大拉的玛利亚,1595,底特律艺术学院,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21292-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
纳西索斯,1597,罗马国立绘画馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21293-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
圣保罗宗徒归化,1600,圣保罗教堂,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21294-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
圣施洗圣约翰,1601,巴塞尔,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21296-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
报喜,1609,兰斯美术博物馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21297-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
鲁特琴演奏者,1595,私人,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21298-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
在以马忤斯的晚餐,1600,英国伦敦国家美术馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21299-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
入迷的圣法兰西斯,1595,哈特福德沃兹沃思艺术学院,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21300-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
有花和水果的静物,1601,贝佳斯画廊,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21301-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
被一只绿色蜥蜴咬伤的男孩,1595,英国伦敦国家画廊,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21302-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
逃往埃及途中的休息,1596,多里亚潘菲利画廊,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21303-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
朱迪思与荷罗孚尼,1607,罗马国家画廊,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21304-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
圣马太的呼唤,1607,圣王路易教堂,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21305-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
圣托马斯的怀疑,1601,波茨坦市无忧宫,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21306-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
洛雷托圣母,1607,圣阿戈斯蒂诺,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21307-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
圣母之死,1601,法国巴黎罗浮宫美术馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21309-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
七件慈悲行为,1607,意大利那不勒斯慈爱山丘教堂,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21310-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
罗萨里奥的圣母玛丽亚,1607,维也纳历史博物馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21311-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
基督的自虐,1595,那不勒斯博物馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21312-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
莎乐美端着圣约翰的头,1607,英国伦敦国家美术馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21313-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
戴维与巨人歌利亚的头,1595,维也纳历史博物馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21314-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
圣施洗圣约翰的斩首,1608,圣约翰博物馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21315-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
基督诞生和圣弗兰西斯及对劳伦斯,1609,私人,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21316-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
纸牌骗子,1595,肯贝尔艺术博物馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21317-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
大卫和巨人,1600,西班牙马德里普拉多博物馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21318-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
美杜莎,1590,佛罗伦萨乌菲兹美术馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21319-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
艾萨克的献祭,1590,佛罗伦萨乌菲兹美术馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21320-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
算命者,1594,法国巴黎罗浮宫美术馆,油画,http://www.youhuadaquan.org/images-small/Caravaggio/21321-Caravaggio.jpg,米开朗基罗·梅里西·德·卡拉瓦乔,5
黄昏中的老人,1918,私人,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24217-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
阿古俄港口,1919,萨尔瓦多达利基金会,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24218-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
三颗松树,1919,私人,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24219-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
